station,sta1,sta2,sta3,sta4,sta5,sta6,sta7,sta8,sta9,sta10,sta11,sta12,sta13,sta14,sta15,sta16,sta17,sta18,sta19,sta20,sta21,sta22,sta23,sta24,sta25,sta26,sta27,sta28,sta29,sta30
total_time,94.044717,94.244826,94.052415,86.513845,92.051226,85.023416,92.279806,93.711862,92.025106,94.205543,94.413823,94.003741,94.051025,89.312654,92.280237,92.008602,91.400787,92.703358,93.457632,93.484239,86.424221,91.711344,91.759229,76.707962,75.091940,90.048998,92.261801,91.918983,79.962466,92.282777
total_packets,9360,11460,10357,8550,10100,11000,10850,10882,10600,10938,13417,11362,9398,8400,9650,9400,11100,9900,10450,10500,10750,11850,9700,7800,6950,10100,10400,8100,8600,9950
min_delay,0.011666,0.011106,0.010690,0.011215,0.010872,0.011413,0.010984,0.010982,0.011003,0.011686,0.011272,0.011112,0.011640,0.010751,0.011262,0.011531,0.011225,0.010879,0.012317,0.011093,0.011131,0.011189,0.011549,0.012212,0.011464,0.011482,0.011318,0.011871,0.011313,0.011302
max_delay,13.833247,1.289675,5.665894,23.341563,8.630241,17.300727,18.191533,7.663141,6.187005,10.217145,1.289667,4.637835,18.636173,10.765947,3.742669,14.678292,2.680359,31.991000,5.538097,4.767643,7.298634,2.545265,18.741173,8.144618,10.428346,7.422129,9.771795,10.126726,14.985413,22.980560
avg_delay,2.679774,0.156892,0.380623,11.475935,2.035412,5.972689,3.621766,1.364856,0.602646,1.303221,0.121053,0.870878,4.341979,3.675456,0.471951,3.565330,0.218491,11.194134,0.746564,0.338404,2.360542,0.309620,4.510336,1.929049,4.049558,1.331134,0.947239,2.868226,4.442071,5.903334
avg_jitter,0.013799,0.010794,0.011817,0.009865,0.011452,0.011439,0.012308,0.011561,0.011833,0.012330,0.009454,0.010184,0.011804,0.010590,0.012700,0.013629,0.010621,0.014705,0.013534,0.010887,0.010413,0.009157,0.014170,0.012826,0.010086,0.013019,0.011714,0.010979,0.011440,0.012524
sd_delay,3.223328,0.209372,1.090049,9.217321,2.188906,5.993032,5.682180,1.740567,1.401143,1.948556,0.148818,0.823763,6.492904,3.633739,0.898520,3.905855,0.461787,10.849483,1.224695,0.896131,2.419894,0.481797,4.816167,2.453870,3.843666,2.282823,2.419225,3.124494,4.731958,7.549223
avg_bit_rate,398.108487,486.392749,440.477791,395.312450,438.886061,517.504495,470.308748,464.487623,460.743832,464.431270,568.433713,483.470121,399.697930,376.206489,418.291080,408.657443,485.772623,427.168992,447.261493,449.273594,497.545705,516.839007,422.845750,406.737439,370.212835,448.644637,450.890830,352.484318,430.201840,431.283077
avg_pkt_rate,99.527122,121.598187,110.119448,98.828112,109.721515,129.376124,117.577187,116.121906,115.185958,116.107818,142.108428,120.867530,99.924482,94.051622,104.572770,102.164361,121.443156,106.792248,111.815373,112.318398,124.386426,129.209752,105.711437,101.684360,92.553209,112.161159,112.722707,88.121079,107.550460,107.820769
