station,sta1,sta2,sta3,sta4,sta5,sta6,sta7,sta8,sta9,sta10,sta11,sta12,sta13,sta14,sta15,sta16,sta17,sta18,sta19,sta20,sta21,sta22,sta23,sta24,sta25,sta26,sta27,sta28,sta29,sta30
total_time,92.236975,94.216667,94.018826,94.047153,93.343099,93.985029,94.069621,91.728623,93.747680,92.269533,93.532235,93.423863,93.216857,93.051149,93.216481,92.650506,92.599175,90.249619,93.178661,93.223758,90.982845,93.186498,92.961911,92.687037,91.867721,92.588454,92.615891,92.454952,91.837350,92.721448
total_packets,11150,10395,11076,11566,11150,10353,9921,10450,10750,10900,11000,11300,10500,11200,9700,10200,10800,10200,10450,10150,9350,11850,11450,9900,10300,10100,10700,10800,11250,10600
min_delay,0.011577,0.011842,0.011082,0.011635,0.010915,0.011003,0.011338,0.011091,0.010979,0.010952,0.010754,0.011578,0.011530,0.011039,0.011868,0.010954,0.011365,0.011494,0.011034,0.011065,0.011404,0.010998,0.010954,0.011543,0.010923,0.011169,0.011099,0.011566,0.010805,0.011132
max_delay,1.440608,2.250953,1.041553,1.250150,0.792499,4.387708,4.668716,0.968902,3.957568,1.014793,1.144159,1.328508,1.076381,1.026023,2.338391,3.114071,2.621680,9.495927,1.013545,5.285258,8.628677,1.235980,1.255209,4.509486,1.039096,2.500932,0.940394,1.130668,1.167684,1.005367
avg_delay,0.208266,0.155846,0.169512,0.152115,0.146699,0.194760,0.228175,0.126610,0.145640,0.172379,0.159395,0.146703,0.144548,0.159976,0.162614,0.176727,0.166761,0.181912,0.170951,0.197752,0.404303,0.147361,0.163045,0.169073,0.156083,0.176103,0.167938,0.145214,0.147845,0.142228
avg_jitter,0.012880,0.012291,0.012235,0.011476,0.011892,0.013418,0.014078,0.011141,0.012301,0.012723,0.012048,0.011652,0.012118,0.011529,0.012628,0.013091,0.012555,0.012341,0.012558,0.013219,0.014452,0.011430,0.011750,0.013557,0.011791,0.013093,0.012309,0.011467,0.011421,0.011767
sd_delay,0.204560,0.178458,0.165485,0.152342,0.134089,0.261164,0.329278,0.135458,0.159355,0.158034,0.156936,0.163775,0.145302,0.171621,0.172459,0.190666,0.203466,0.678429,0.165659,0.334889,0.782419,0.149558,0.163387,0.237893,0.164918,0.221705,0.153952,0.142199,0.147452,0.142037
avg_bit_rate,483.537106,441.323190,471.224774,491.923450,477.807149,440.623368,421.857764,455.692004,458.678017,472.528673,470.426052,483.816431,450.562284,481.455635,416.235408,440.364567,466.526835,452.079471,448.600565,435.511300,411.066504,508.657381,492.674898,427.244211,448.470905,436.339503,462.123719,467.254583,489.996717,457.283627
avg_pkt_rate,120.884277,110.330797,117.806193,122.980863,119.451787,110.155842,105.464441,113.923001,114.669504,118.132168,117.606513,120.954108,112.640571,120.363909,104.058852,110.091142,116.631709,113.019868,112.150141,108.877825,102.766626,127.164345,123.168724,106.811053,112.117726,109.084876,115.530930,116.813646,122.499179,114.320907
